# UN member-state Wikipedia network -- built 2026-09-09
# All 193 UN member states from Wikipedia's Category:Member_states_of_the_United_Nations
# (redirects resolved; 2 miscategorized non-country pages excluded, see notebook Step 1).
# 193 nodes. node_id matches un_edges.tsv.
node_id	name	wikidata_id	url	description
Cuba	Cuba	Q241	https://en.wikipedia.org/wiki/Cuba	Cuba, officially the Republic of Cuba, is an island country in the Caribbean.
Cyprus	Cyprus	Q229	https://en.wikipedia.org/wiki/Cyprus	Cyprus, officially the Republic of Cyprus, is an island country in the eastern Mediterranean Sea, located off the coast of the Levant mainland in West Asia.
Czech_Republic	Czech Republic	Q213	https://en.wikipedia.org/wiki/Czech_Republic	The Czech Republic, also known as Czechia and historically known as Bohemia, is a landlocked country in Central Europe.
Democratic_Republic_of_the_Congo	Democratic Republic of the Congo	Q974	https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo	The Democratic Republic of the Congo (DRC), also known as the DR Congo, Congo-Kinshasa, or simply the Congo, and formerly named Zaire, is a country in Central Africa.
Denmark	Denmark	Q35	https://en.wikipedia.org/wiki/Denmark	Denmark is a Nordic country in Northern Europe.
Djibouti	Djibouti	Q977	https://en.wikipedia.org/wiki/Djibouti	Djibouti, officially the Republic of Djibouti, is a country in the Horn of Africa, bordered by Somalia to the south, Ethiopia to the southwest, Eritrea in the north, and the Red Sea and the Gulf of Aden to the east.
Dominica	Dominica	Q784	https://en.wikipedia.org/wiki/Dominica	Dominica officially the Commonwealth of Dominica, is an island country in the Caribbean.
Dominican_Republic	Dominican Republic	Q786	https://en.wikipedia.org/wiki/Dominican_Republic	The Dominican Republic is an island country on the eastern part of the Caribbean island of Hispaniola in the Greater Antilles of the Caribbean Sea in the North Atlantic Ocean.
Ecuador	Ecuador	Q736	https://en.wikipedia.org/wiki/Ecuador	Ecuador, officially the Republic of Ecuador, is a country in northwestern South America, bordered by Colombia on the north, Peru on the east and south, and the Pacific Ocean on the west.
Egypt	Egypt	Q79	https://en.wikipedia.org/wiki/Egypt	Egypt, officially the Arab Republic of Egypt, is a country spanning the northeast corner of Africa and southwest corner of Asia via the Sinai Peninsula.
El_Salvador	El Salvador	Q792	https://en.wikipedia.org/wiki/El_Salvador	El Salvador, officially the Republic of El Salvador, is a sovereign nation in Central America.
Equatorial_Guinea	Equatorial Guinea	Q983	https://en.wikipedia.org/wiki/Equatorial_Guinea	Equatorial Guinea, officially the Republic of Equatorial Guinea, is a country on the west coast of Central Africa and the only Spanish-speaking country in Africa.
Eritrea	Eritrea	Q986	https://en.wikipedia.org/wiki/Eritrea	Eritrea, officially the State of Eritrea, is a country in the Horn of Africa region of East Africa.
Estonia	Estonia	Q191	https://en.wikipedia.org/wiki/Estonia	Estonia, officially the Republic of Estonia, is a country in the Baltic region of Northern Europe.
Eswatini	Eswatini	Q1050	https://en.wikipedia.org/wiki/Eswatini	Eswatini, formally the Kingdom of Eswatini (historically called KaNgwane), also known by its former official names Swaziland and the Kingdom of Swaziland, is a landlocked country in Southern Africa.
